,eyeClosed,Center Up,,Center,,Center Down,,Left Point,,Right Point,,Left,Right,Up,Down,Eye width:,,,,,,,,,,,
capture_2020_07_24_18_01_42_011110_left,0,48,41,45,53,52,68,27,63,79,56,1,0,0,0,100,,0.5,0.416666667,0.038901602,0.470588235,0.452054795,0.61038961,0.355263158,0.597402597,0.625,0.511904762
capture_2020_07_24_18_01_42_011110_right,0,36,33,33,45,39,59,13,57,68,49,1,0,0,0,100,,0.346153846,0.333333333,0.025171625,0.376470588,0.273972603,0.493506494,0.171052632,0.519480519,0.428571429,0.428571429
capture_2020_07_24_18_01_42_011111_left,0,46,42,42,55,48,70,25,65,76,58,1,0,0,0,100,,0.474358974,0.427083333,0.035469108,0.494117647,0.397260274,0.636363636,0.328947368,0.623376623,0.571428571,0.535714286
capture_2020_07_24_18_01_42_011111_right,0,37,31,32,44,41,59,11,55,69,48,1,0,0,0,100,,0.358974359,0.3125,0.02402746,0.364705882,0.301369863,0.493506494,0.144736842,0.493506494,0.446428571,0.416666667
capture_2020_07_24_18_01_42_011112_left,0,45,43,39,56,46,72,26,65,75,58,1,0,0,0,100,,0.461538462,0.4375,0.032036613,0.505882353,0.369863014,0.662337662,0.342105263,0.623376623,0.553571429,0.535714286
capture_2020_07_24_18_01_42_011112_right,0,39,31,29,44,39,58,10,55,67,47,1,0,0,0,100,,0.384615385,0.3125,0.020594966,0.364705882,0.273972603,0.480519481,0.131578947,0.493506494,0.410714286,0.404761905
capture_2020_07_24_18_01_42_011113_left,0,40,47,33,65,46,74,20,70,68,61,1,0,0,0,100,,0.397435897,0.479166667,0.025171625,0.611764706,0.369863014,0.688311688,0.263157895,0.688311688,0.428571429,0.571428571
capture_2020_07_24_18_01_42_011113_right,0,36,34,21,48,38,59,7,56,65,49,1,0,0,0,100,,0.346153846,0.34375,0.011441648,0.411764706,0.260273973,0.493506494,0.092105263,0.506493506,0.375,0.428571429
capture_2020_07_24_18_01_42_011114_left,0,38,51,32,68,44,77,22,74,68,64,1,0,0,0,100,,0.371794872,0.520833333,0.02402746,0.647058824,0.342465753,0.727272727,0.289473684,0.74025974,0.428571429,0.607142857
capture_2020_07_24_18_01_42_011114_right,0,23,41,13,56,29,65,2,60,57,53,1,0,0,0,100,,0.179487179,0.416666667,0.00228833,0.505882353,0.136986301,0.571428571,0.026315789,0.558441558,0.232142857,0.476190476
capture_2020_07_24_18_01_42_011115_left,0,60,56,52,74,67,83,44,77,87,70,1,0,0,0,100,,0.653846154,0.572916667,0.046910755,0.717647059,0.657534247,0.805194805,0.578947368,0.779220779,0.767857143,0.678571429
capture_2020_07_24_18_01_42_011115_right,0,43,40,34,58,53,67,20,65,77,54,1,0,0,0,100,,0.435897436,0.40625,0.026315789,0.529411765,0.465753425,0.597402597,0.263157895,0.623376623,0.589285714,0.488095238
capture_2020_07_24_18_01_42_011116_left,0,61,59,55,75,67,85,48,80,86,70,1,0,0,0,100,,0.666666667,0.604166667,0.050343249,0.729411765,0.657534247,0.831168831,0.631578947,0.818181818,0.75,0.678571429
capture_2020_07_24_18_01_42_011116_right,0,44,40,34,56,49,67,19,63,76,52,1,0,0,0,100,,0.448717949,0.40625,0.026315789,0.505882353,0.410958904,0.597402597,0.25,0.597402597,0.571428571,0.464285714
capture_2020_07_24_18_01_42_011117_left,0,50,53,44,69,57,78,36,74,76,65,1,0,0,0,100,,0.525641026,0.541666667,0.037757437,0.658823529,0.520547945,0.74025974,0.473684211,0.74025974,0.571428571,0.619047619
capture_2020_07_24_18_01_42_011117_right,0,24,35,17,52,33,60,3,55,57,47,1,0,0,0,100,,0.192307692,0.354166667,0.006864989,0.458823529,0.191780822,0.506493506,0.039473684,0.493506494,0.232142857,0.404761905
capture_2020_07_24_18_01_42_011118_left,0,42,50,39,64,50,75,30,70,70,62,1,0,0,0,100,,0.423076923,0.510416667,0.032036613,0.6,0.424657534,0.701298701,0.394736842,0.688311688,0.464285714,0.583333333
capture_2020_07_24_18_01_42_011118_right,0,22,34,12,47,25,58,1,51,51,46,1,0,0,0,100,,0.166666667,0.34375,0.001144165,0.4,0.082191781,0.480519481,0.013157895,0.441558442,0.125,0.392857143
capture_2020_07_24_18_01_42_011119_left,0,46,49,41,64,53,74,35,68,70,61,1,0,0,0,100,,0.474358974,0.5,0.034324943,0.6,0.465753425,0.688311688,0.460526316,0.662337662,0.464285714,0.571428571
capture_2020_07_24_18_01_42_011119_right,0,23,37,13,50,27,60,1,51,55,47,1,0,0,0,100,,0.179487179,0.375,0.00228833,0.435294118,0.109589041,0.506493506,0.013157895,0.441558442,0.196428571,0.404761905
capture_2020_07_24_18_01_42_011120_left,0,47,50,43,63,54,73,36,68,72,61,1,0,0,0,100,,0.487179487,0.510416667,0.036613272,0.588235294,0.479452055,0.675324675,0.473684211,0.662337662,0.5,0.571428571
capture_2020_07_24_18_01_42_011584_left,0,61,49,67,54,67,60,45,51,82,52,0,0,0,0,100,,0.666666667,0.5,0.064073227,0.482352941,0.657534247,0.506493506,0.592105263,0.441558442,0.678571429,0.464285714
capture_2020_07_24_18_01_42_011584_right,1,51,79,50,83,51,85,25,73,81,78,0,0,0,0,100,,0.538461538,0.8125,0.044622426,0.823529412,0.438356164,0.831168831,0.328947368,0.727272727,0.660714286,0.773809524
capture_2020_07_24_18_01_42_011585_left,0,68,50,70,56,70,62,49,53,90,54,0,0,0,0,100,,0.756410256,0.510416667,0.067505721,0.505882353,0.698630137,0.532467532,0.644736842,0.467532468,0.821428571,0.488095238
capture_2020_07_24_18_01_42_011585_right,1,55,81,55,83,55,86,28,76,81,80,0,0,0,0,100,,0.58974359,0.833333333,0.050343249,0.823529412,0.493150685,0.844155844,0.368421053,0.766233766,0.660714286,0.797619048
capture_2020_07_24_18_01_42_011586_left,0,66,56,69,62,70,67,49,57,85,60,0,0,0,0,100,,0.730769231,0.572916667,0.066361556,0.576470588,0.698630137,0.597402597,0.644736842,0.519480519,0.732142857,0.55952381
capture_2020_07_24_18_01_42_011586_right,1,70,91,70,93,70,95,37,84,91,91,0,0,0,0,100,,0.782051282,0.9375,0.067505721,0.941176471,0.698630137,0.961038961,0.486842105,0.87012987,0.839285714,0.928571429
capture_2020_07_24_18_01_42_012287_left,0,48,63,49,71,53,80,21,76,80,71,0,0,0,0,100,,0.5,0.645833333,0.043478261,0.682352941,0.465753425,0.766233766,0.276315789,0.766233766,0.642857143,0.69047619
capture_2020_07_24_18_01_42_012287_right,0,37,54,37,60,39,69,9,66,69,61,0,0,0,0,100,,0.358974359,0.552083333,0.029748284,0.552941176,0.273972603,0.623376623,0.118421053,0.636363636,0.446428571,0.571428571
capture_2020_07_24_18_01_42_012288_left,0,45,67,46,76,50,85,19,82,76,73,0,0,0,0,100,,0.461538462,0.6875,0.040045767,0.741176471,0.424657534,0.831168831,0.25,0.844155844,0.571428571,0.714285714
capture_2020_07_24_18_01_42_012288_right,0,30,55,32,64,33,74,5,71,61,65,0,0,0,0,100,,0.269230769,0.5625,0.02402746,0.6,0.191780822,0.688311688,0.065789474,0.701298701,0.303571429,0.619047619
capture_2020_07_24_18_01_42_012289_left,0,38,66,39,74,42,84,15,81,67,74,0,0,0,0,100,,0.371794872,0.677083333,0.032036613,0.717647059,0.315068493,0.818181818,0.197368421,0.831168831,0.410714286,0.726190476
capture_2020_07_24_18_01_42_012289_right,0,23,50,24,60,24,70,1,64,52,59,0,0,0,0,100,,0.179487179,0.510416667,0.014874142,0.552941176,0.068493151,0.636363636,0.013157895,0.61038961,0.142857143,0.547619048
capture_2020_07_24_18_01_42_012290_left,0,36,67,39,77,43,87,14,86,67,73,0,0,0,0,100,,0.346153846,0.6875,0.032036613,0.752941176,0.328767123,0.857142857,0.184210526,0.896103896,0.410714286,0.714285714
capture_2020_07_24_18_01_42_012290_right,0,23,53,25,63,27,74,1,69,50,61,0,0,0,0,100,,0.179487179,0.541666667,0.016018307,0.588235294,0.109589041,0.688311688,0.013157895,0.675324675,0.107142857,0.571428571
capture_2020_07_24_18_01_42_012291_left,0,40,68,42,76,47,84,17,85,73,73,0,0,0,0,100,,0.397435897,0.697916667,0.035469108,0.741176471,0.383561644,0.818181818,0.223684211,0.883116883,0.517857143,0.714285714
capture_2020_07_24_18_01_42_012291_right,0,28,50,27,59,29,71,2,65,55,59,0,0,0,0,100,,0.243589744,0.510416667,0.018306636,0.541176471,0.136986301,0.649350649,0.026315789,0.623376623,0.196428571,0.547619048
capture_2020_07_24_18_01_42_012292_left,0,53,76,54,85,60,93,29,93,88,80,0,0,0,0,100,,0.564102564,0.78125,0.049199085,0.847058824,0.561643836,0.935064935,0.381578947,0.987012987,0.785714286,0.797619048
capture_2020_07_24_18_01_42_012292_right,0,38,57,41,67,43,78,6,75,67,65,0,0,0,0,100,,0.371794872,0.583333333,0.034324943,0.635294118,0.328767123,0.74025974,0.078947368,0.753246753,0.410714286,0.619047619
capture_2020_07_24_18_01_42_012293_left,0,44,71,47,82,52,91,18,92,76,77,0,0,0,0,100,,0.448717949,0.729166667,0.041189931,0.811764706,0.452054795,0.909090909,0.236842105,0.974025974,0.571428571,0.761904762
capture_2020_07_24_18_01_42_012293_right,0,32,50,34,61,35,70,4,67,59,59,0,0,0,0,100,,0.294871795,0.510416667,0.026315789,0.564705882,0.219178082,0.636363636,0.052631579,0.649350649,0.267857143,0.547619048
capture_2020_07_24_18_01_42_012294_left,0,51,68,55,77,60,85,30,86,83,72,0,0,0,0,100,,0.538461538,0.697916667,0.050343249,0.752941176,0.561643836,0.831168831,0.394736842,0.896103896,0.696428571,0.702380952
capture_2020_07_24_18_01_42_012294_right,0,43,45,46,54,48,64,15,62,75,52,0,0,0,0,100,,0.435897436,0.458333333,0.040045767,0.482352941,0.397260274,0.558441558,0.197368421,0.584415584,0.553571429,0.464285714
capture_2020_07_24_18_01_42_012568_left,0,48,42,49,52,49,65,21,60,76,57,0,0,0,0,100,,0.5,0.427083333,0.043478261,0.458823529,0.410958904,0.571428571,0.276315789,0.558441558,0.571428571,0.523809524
capture_2020_07_24_18_01_42_012568_right,0,49,41,49,51,49,65,18,58,79,55,0,0,0,0,100,,0.512820513,0.416666667,0.043478261,0.447058824,0.410958904,0.571428571,0.236842105,0.532467532,0.625,0.5
capture_2020_07_24_18_01_42_012569_left,0,48,43,49,53,50,66,23,60,77,57,0,0,0,0,100,,0.5,0.4375,0.043478261,0.470588235,0.424657534,0.584415584,0.302631579,0.558441558,0.589285714,0.523809524
capture_2020_07_24_18_01_42_012569_right,0,49,42,49,50,50,64,16,58,75,56,0,0,0,0,100,,0.512820513,0.427083333,0.043478261,0.435294118,0.424657534,0.558441558,0.210526316,0.532467532,0.553571429,0.511904762
capture_2020_07_24_18_01_42_012570_left,0,50,52,51,57,52,66,25,62,71,58,0,0,0,0,100,,0.525641026,0.53125,0.04576659,0.517647059,0.452054795,0.584415584,0.328947368,0.584415584,0.482142857,0.535714286
capture_2020_07_24_18_01_42_012570_right,0,50,48,50,54,51,61,23,56,74,56,0,0,0,0,100,,0.525641026,0.489583333,0.044622426,0.482352941,0.438356164,0.519480519,0.302631579,0.506493506,0.535714286,0.511904762
capture_2020_07_24_18_01_42_012571_left,1,48,55,48,57,49,59,28,61,68,56,0,0,0,0,100,,0.5,0.5625,0.042334096,0.517647059,0.410958904,0.493506494,0.368421053,0.571428571,0.428571429,0.511904762
capture_2020_07_24_18_01_42_012571_right,0,55,51,55,56,54,63,21,57,77,59,0,0,0,0,100,,0.58974359,0.520833333,0.050343249,0.505882353,0.479452055,0.545454545,0.276315789,0.519480519,0.589285714,0.547619048
capture_2020_07_24_18_01_42_012572_left,1,51,53,52,56,53,60,27,60,70,55,0,0,0,0,100,,0.538461538,0.541666667,0.046910755,0.505882353,0.465753425,0.506493506,0.355263158,0.558441558,0.464285714,0.5
capture_2020_07_24_18_01_42_012572_right,0,57,52,61,56,56,62,24,57,76,57,0,1,0,0,100,,0.615384615,0.53125,0.057208238,0.505882353,0.506849315,0.532467532,0.315789474,0.519480519,0.571428571,0.523809524
capture_2020_07_24_18_01_42_012573_left,0,56,49,66,54,57,64,31,59,77,53,0,1,0,0,100,,0.602564103,0.5,0.062929062,0.482352941,0.520547945,0.558441558,0.407894737,0.545454545,0.589285714,0.476190476
capture_2020_07_24_18_01_42_012573_right,0,58,49,66,54,57,64,24,57,84,59,0,1,0,0,100,,0.628205128,0.5,0.062929062,0.482352941,0.520547945,0.558441558,0.315789474,0.519480519,0.714285714,0.547619048
capture_2020_07_24_18_01_42_012574_left,0,59,45,64,53,58,64,24,59,82,55,0,1,0,0,100,,0.641025641,0.458333333,0.060640732,0.470588235,0.534246575,0.558441558,0.315789474,0.545454545,0.678571429,0.5
capture_2020_07_24_18_01_42_012574_right,0,56,47,65,56,57,66,20,58,78,59,0,1,0,0,100,,0.602564103,0.479166667,0.061784897,0.505882353,0.520547945,0.584415584,0.263157895,0.532467532,0.607142857,0.547619048
capture_2020_07_24_18_01_42_012575_left,0,54,41,65,49,55,62,24,54,79,50,0,1,0,0,100,,0.576923077,0.416666667,0.061784897,0.423529412,0.493150685,0.532467532,0.315789474,0.480519481,0.625,0.44047619
capture_2020_07_24_18_01_42_012575_right,0,55,43,67,55,59,67,24,57,81,57,0,1,0,0,100,,0.58974359,0.4375,0.064073227,0.494117647,0.547945205,0.597402597,0.315789474,0.519480519,0.660714286,0.523809524
capture_2020_07_24_18_01_42_012576_left,0,50,39,60,49,54,62,18,54,80,53,0,1,0,0,100,,0.525641026,0.395833333,0.056064073,0.423529412,0.479452055,0.532467532,0.236842105,0.480519481,0.642857143,0.476190476
capture_2020_07_24_18_01_42_012576_right,0,45,40,59,52,50,64,17,55,73,56,0,1,0,0,100,,0.461538462,0.40625,0.054919908,0.458823529,0.424657534,0.558441558,0.223684211,0.493506494,0.517857143,0.511904762
capture_2020_07_24_18_01_42_012577_left,0,47,41,60,51,51,63,19,55,77,54,0,1,0,0,100,,0.487179487,0.416666667,0.056064073,0.447058824,0.438356164,0.545454545,0.25,0.493506494,0.589285714,0.488095238
capture_2020_07_24_18_01_42_012577_right,0,46,39,57,50,48,62,17,52,71,55,0,1,0,0,100,,0.474358974,0.395833333,0.052631579,0.435294118,0.397260274,0.532467532,0.223684211,0.454545455,0.482142857,0.5
capture_2020_07_24_18_01_42_012578_left,0,48,43,55,54,48,66,18,58,74,58,0,1,0,0,100,,0.5,0.4375,0.050343249,0.482352941,0.397260274,0.584415584,0.236842105,0.532467532,0.535714286,0.535714286
capture_2020_07_24_18_01_42_012578_right,0,39,47,48,57,38,70,10,61,62,63,0,1,0,0,100,,0.384615385,0.479166667,0.042334096,0.517647059,0.260273973,0.636363636,0.131578947,0.571428571,0.321428571,0.595238095
capture_2020_07_24_18_01_42_012579_left,0,40,44,48,57,39,69,2,57,68,60,0,1,0,0,100,,0.397435897,0.447916667,0.042334096,0.517647059,0.273972603,0.623376623,0.026315789,0.519480519,0.428571429,0.55952381
capture_2020_07_24_18_01_42_012579_right,0,44,56,55,70,47,82,14,71,71,74,0,1,0,0,100,,0.448717949,0.572916667,0.050343249,0.670588235,0.383561644,0.792207792,0.184210526,0.701298701,0.482142857,0.726190476
capture_2020_07_24_18_01_42_012580_left,0,33,35,43,46,37,60,2,48,66,50,0,1,0,0,100,,0.307692308,0.354166667,0.036613272,0.388235294,0.246575342,0.506493506,0.026315789,0.402597403,0.392857143,0.44047619
capture_2020_07_24_18_01_42_012580_right,0,41,48,46,60,39,72,11,57,64,62,0,1,0,0,100,,0.41025641,0.489583333,0.040045767,0.552941176,0.273972603,0.662337662,0.144736842,0.519480519,0.357142857,0.583333333
capture_2020_07_24_18_01_42_012581_left,0,43,37,50,48,44,61,9,50,72,51,0,1,0,0,100,,0.435897436,0.375,0.044622426,0.411764706,0.342465753,0.519480519,0.118421053,0.428571429,0.5,0.452380952
capture_2020_07_24_18_01_42_012581_right,0,44,49,49,60,43,74,15,59,65,64,0,1,0,0,100,,0.448717949,0.5,0.043478261,0.552941176,0.328767123,0.688311688,0.197368421,0.545454545,0.375,0.607142857
capture_2020_07_24_18_01_42_012582_left,0,51,39,57,50,50,64,17,51,78,51,0,1,0,0,100,,0.538461538,0.395833333,0.052631579,0.435294118,0.424657534,0.558441558,0.223684211,0.441558442,0.607142857,0.452380952
capture_2020_07_24_18_01_42_012582_right,0,50,51,52,65,48,76,21,64,67,69,0,1,0,0,100,,0.525641026,0.520833333,0.046910755,0.611764706,0.397260274,0.714285714,0.276315789,0.61038961,0.410714286,0.666666667
capture_2020_07_24_18_01_42_012661_left,0,52,49,45,59,55,67,31,58,81,54,1,0,0,1,100,,0.551282051,0.5,0.038901602,0.541176471,0.493150685,0.597402597,0.407894737,0.532467532,0.660714286,0.488095238
capture_2020_07_24_18_01_42_012661_right,0,47,52,33,59,46,69,18,59,79,59,1,0,0,1,100,,0.487179487,0.53125,0.025171625,0.541176471,0.369863014,0.623376623,0.236842105,0.545454545,0.625,0.547619048
capture_2020_07_24_18_01_42_012662_left,0,56,55,46,65,58,73,35,65,81,63,1,0,0,1,100,,0.602564103,0.5625,0.040045767,0.611764706,0.534246575,0.675324675,0.460526316,0.623376623,0.660714286,0.595238095
capture_2020_07_24_18_01_42_012662_right,0,56,63,43,71,54,80,26,70,88,71,1,0,0,1,100,,0.602564103,0.645833333,0.036613272,0.682352941,0.479452055,0.766233766,0.342105263,0.688311688,0.785714286,0.69047619
capture_2020_07_24_18_01_42_012664_left,0,18,62,11,73,22,82,1,71,49,69,1,0,0,1,100,,0.115384615,0.635416667,0,0.705882353,0.04109589,0.792207792,0.013157895,0.701298701,0.089285714,0.666666667
capture_2020_07_24_18_01_42_012665_left,0,32,58,20,68,34,76,9,68,59,64,1,0,0,1,100,,0.294871795,0.59375,0.010297483,0.647058824,0.205479452,0.714285714,0.118421053,0.662337662,0.267857143,0.607142857
capture_2020_07_24_18_01_42_012665_right,0,44,83,34,92,46,99,8,90,81,93,1,0,0,1,100,,0.448717949,0.854166667,0.026315789,0.929411765,0.369863014,1.012987013,0.105263158,0.948051948,0.660714286,0.952380952
capture_2020_07_24_18_01_42_012666_left,0,34,48,26,59,38,67,13,56,63,56,1,0,0,1,100,,0.320512821,0.489583333,0.017162471,0.541176471,0.260273973,0.597402597,0.171052632,0.506493506,0.339285714,0.511904762
capture_2020_07_24_18_01_42_012666_right,0,32,72,25,80,30,90,0,77,67,79,1,0,0,1,100,,0.294871795,0.739583333,0.016018307,0.788235294,0.150684932,0.896103896,0,0.779220779,0.410714286,0.785714286
capture_2020_07_24_18_01_42_012667_left,0,38,45,27,55,41,64,17,55,65,54,1,0,0,1,100,,0.371794872,0.458333333,0.018306636,0.494117647,0.301369863,0.558441558,0.223684211,0.493506494,0.375,0.488095238
capture_2020_07_24_18_01_42_012667_right,0,39,68,27,77,34,86,1,75,75,78,1,0,0,1,100,,0.384615385,0.697916667,0.018306636,0.752941176,0.205479452,0.844155844,0.013157895,0.753246753,0.553571429,0.773809524
capture_2020_07_24_18_01_42_012668_left,0,64,47,56,57,67,64,43,54,88,53,1,0,0,1,100,,0.705128205,0.479166667,0.051487414,0.517647059,0.657534247,0.558441558,0.565789474,0.480519481,0.785714286,0.476190476
capture_2020_07_24_18_01_42_012668_right,0,60,62,49,70,60,82,27,67,95,71,1,0,0,1,100,,0.653846154,0.635416667,0.043478261,0.670588235,0.561643836,0.792207792,0.355263158,0.649350649,0.910714286,0.69047619
capture_2020_07_24_18_01_42_012669_left,0,68,52,61,60,69,66,47,58,94,57,1,0,0,1,100,,0.756410256,0.53125,0.057208238,0.552941176,0.684931507,0.584415584,0.618421053,0.532467532,0.892857143,0.523809524
capture_2020_07_24_18_01_42_012669_right,1,66,70,66,71,66,73,37,71,94,74,0,0,0,0,100,,0.730769231,0.71875,0.062929062,0.682352941,0.643835616,0.675324675,0.486842105,0.701298701,0.892857143,0.726190476
capture_2020_07_24_18_01_42_012670_left,1,62,59,63,61,63,62,43,61,97,59,0,0,0,0,100,,0.679487179,0.604166667,0.059496568,0.564705882,0.602739726,0.532467532,0.565789474,0.571428571,0.946428571,0.547619048
capture_2020_07_24_18_01_42_012670_right,1,65,75,65,77,65,78,36,73,92,75,0,0,0,0,100,,0.717948718,0.770833333,0.061784897,0.752941176,0.630136986,0.74025974,0.473684211,0.727272727,0.857142857,0.738095238
capture_2020_07_24_18_01_42_012671_left,1,67,64,66,65,67,66,44,64,91,61,0,0,0,0,100,,0.743589744,0.65625,0.062929062,0.611764706,0.657534247,0.584415584,0.578947368,0.61038961,0.839285714,0.571428571
